bulan,tahun,wisatawan,jumlah
januari ,2016 ,Wisatawan Nusantara ,18568
februari ,2016 ,Wisatawan Nusantara ,17986
maret ,2016 ,Wisatawan Nusantara ,22224
april ,2016 ,Wisatawan Nusantara ,26111
mei ,2016 ,Wisatawan Nusantara ,26548
juni ,2016 ,Wisatawan Nusantara ,17023
juli ,2016 ,Wisatawan Nusantara ,23997
agustus ,2016 ,Wisatawan Nusantara ,23998
september ,2016 ,Wisatawan Nusantara ,21286
oktober ,2016 ,Wisatawan Nusantara ,24186
november ,2016 ,Wisatawan Nusantara ,23257
desember ,2016 ,Wisatawan Nusantara ,23348
januari ,2016 ,Wisatawan Mancanegara ,1625
februari ,2016 ,Wisatawan Mancanegara ,1955
maret ,2016 ,Wisatawan Mancanegara ,1659
april ,2016 ,Wisatawan Mancanegara ,1898
mei ,2016 ,Wisatawan Mancanegara ,1738
juni ,2016 ,Wisatawan Mancanegara ,974
juli ,2016 ,Wisatawan Mancanegara ,750
agustus ,2016 ,Wisatawan Mancanegara ,1176
september ,2016 ,Wisatawan Mancanegara ,1224
oktober ,2016 ,Wisatawan Mancanegara ,1669
november ,2016 ,Wisatawan Mancanegara ,1733
desember ,2016 ,Wisatawan Mancanegara ,2176
